Day,Order sumary,,, Totals
2022-02-20,Item,Quantity,Total,"$1,683.75 "
,501,19,,
,502,22,,
,503,24,,
,504,18,,
,505,3,,
,506,8,,
,507,23,,
,508,8,,
,509,43,,
,510,23,,
,511,11,,
,512,8,,
,513,90,,
,514,40,,
,515,20,,
,516,8,,
,517,28,,
,518,44,,
,519,20,,
,,,,
2022-02-21,Item,Quantity,Total,"$1,314.25 "
,501,21,,
,502,28,,
,503,27,,
,504,17,,
,505,9,,
,506,3,,
,507,29,,
,508,13,,
,509,42,,
,510,22,,
,511,14,,
,512,2,,
,513,54,,
,514,37,,
,515,27,,
,516,17,,
,517,40,,
,518,47,,
,519,21,,
,,,,
2022-02-22,Item,Quantity,Total,"$1,508.75 "
,501,23,,
,502,33,,
,503,33,,
,504,22,,
,505,3,,
,506,1,,
,507,24,,
,508,13,,
,509,42,,
,510,22,,
,511,10,,
,512,10,,
,513,70,,
,514,49,,
,515,23,,
,516,13,,
,517,33,,
,518,53,,
,519,28,,
,,,,
2022-02-23,Item,Quantity,Total,"$1,818.30 "
,501,32,,
,502,31,,
,503,34,,
,504,19,,
,505,4,,
,506,8,,
,507,37,,
,508,17,,
,509,60,,
,510,22,,
,511,3,,
,512,8,,
,513,50,,
,514,40,,
,515,30,,
,516,10,,
,517,34,,
,518,40,,
,519,15,,
,,,,
2022-02-24,Item,Quantity,Total,"$2,319.10 "
,501,50,,
,502,44,,
,503,55,,
,504,36,,
,505,12,,
,506,8,,
,507,42,,
,508,24,,
,509,80,,
,510,49,,
,511,14,,
,512,11,,
,513,111,,
,514,90,,
,515,37,,
,516,23,,
,517,55,,
,518,88,,
,519,59,,
,,,,
2022-02-25,Item,Quantity,Total,"$2,753.10 "
,501,44,,
,502,44,,
,503,44,,
,504,29,,
,505,16,,
,506,20,,
,507,44,,
,508,13,,
,509,77,,
,510,38,,
,511,5,,
,512,3,,
,513,70,,
,514,48,,
,515,40,,
,516,10,,
,517,29,,
,518,68,,
,519,45,,
,,,,
2022-02-26,Item,Quantity,Total,"$3,808.10 "
,501,80,,
,502,70,,
,503,77,,
,504,39,,
,505,32,,
,506,22,,
,507,65,,
,508,33,,
,509,120,,
,510,60,,
,511,20,,
,512,15,,
,513,170,,
,514,120,,
,515,50,,
,516,30,,
,517,78,,
,518,130,,
,519,66,,
